System Passenger - Passenger Enplanements  (January 2000 - January 2020)
Unit: (000)

Period,Scheduled
"January 2000","46492"
"February 2000","48526"
"March 2000","58764"
"April 2000","56033"
"May 2000","58201"
"June 2000","61073"
"July 2000","62582"
"August 2000","61355"
"September 2000","52222"
"October 2000","56555"
"November 2000","54959"
"December 2000","52520"
"January 2001","49618"
"February 2001","48129"
"March 2001","59121"
"April 2001","56602"
"May 2001","56962"
"June 2001","59887"
"July 2001","62655"
"August 2001","63238"
"September 2001","34608"
"October 2001","44031"
"November 2001","44678"
"December 2001","45536"
"January 2002","43285"
"February 2002","43003"
"March 2002","54000"
"April 2002","50458"
"May 2002","52401"
"June 2002","54944"
"July 2002","57386"
"August 2002","57559"
"September 2002","45225"
"October 2002","53155"
"November 2002","49716"
"December 2002","55044"
"January 2003","48238"
"February 2003","45696"
"March 2003","55298"
"April 2003","51594"
"May 2003","53971"
"June 2003","57844"
"July 2003","62277"
"August 2003","60488"
"September 2003","49318"
"October 2003","55147"
"November 2003","52190"
"December 2003","55407"
"January 2004","49381"
"February 2004","50528"
"March 2004","60261"
"April 2004","59197"
"May 2004","59081"
"June 2004","63643"
"July 2004","67097"
"August 2004","64676"
"September 2004","53341"
"October 2004","60063"
"November 2004","57445"
"December 2004","58978"
"January 2005","54435"
"February 2005","52858"
"March 2005","66099"
"April 2005","61567"
"May 2005","64185"
"June 2005","67138"
"July 2005","70575"
"August 2005","66841"
"September 2005","56820"
"October 2005","59898"
"November 2005","58707"
"December 2005","59505"
"January 2006","55597"
"February 2006","53350"
"March 2006","65838"
"April 2006","63175"
"May 2006","64450"
"June 2006","67229"
"July 2006","69508"
"August 2006","66478"
"September 2006","56426"
"October 2006","61645"
"November 2006","60293"
"December 2006","60734"
"January 2007","57138"
"February 2007","54094"
"March 2007","67170"
"April 2007","64884"
"May 2007","66774"
"June 2007","69687"
"July 2007","72404"
"August 2007","71343"
"September 2007","59209"
"October 2007","64177"
"November 2007","61906"
"December 2007","60837"
"January 2008","57710"
"February 2008","57051"
"March 2008","67725"
"April 2008","63197"
"May 2008","66028"
"June 2008","67956"
"July 2008","70474"
"August 2008","67828"
"September 2008","54233"
"October 2008","59673"
"November 2008","54056"
"December 2008","57383"
"January 2009","51808"
"February 2009","49843"
"March 2009","60977"
"April 2009","59541"
"May 2009","59745"
"June 2009","63576"
"July 2009","68109"
"August 2009","65032"
"September 2009","54678"
"October 2009","58810"
"November 2009","54835"
"December 2009","56945"
"January 2010","52552"
"February 2010","48682"
"March 2010","62219"
"April 2010","59659"
"May 2010","61468"
"June 2010","65012"
"July 2010","68434"
"August 2010","66253"
"September 2010","57352"
"October 2010","62124"
"November 2010","58157"
"December 2010","58583"
"January 2011","53691"
"February 2011","50078"
"March 2011","63578"
"April 2011","60531"
"May 2011","63853"
"June 2011","66244"
"July 2011","69911"
"August 2011","66299"
"September 2011","58068"
"October 2011","61203"
"November 2011","58271"
"December 2011","59070"
"January 2012","54442"
"February 2012","53106"
"March 2012","64462"
"April 2012","61495"
"May 2012","63679"
"June 2012","66609"
"July 2012","69188"
"August 2012","67756"
"September 2012","57421"
"October 2012","60931"
"November 2012","58739"
"December 2012","58872"
"January 2013","55347"
"February 2013","52493"
"March 2013","65099"
"April 2013","60983"
"May 2013","64785"
"June 2013","67075"
"July 2013","69218"
"August 2013","67726"
"September 2013","58194"
"October 2013","62160"
"November 2013","57598"
"December 2013","62492"
"January 2014","55811"
"February 2014","52441"
"March 2014","66444"
"April 2014","63484"
"May 2014","66510"
"June 2014","68599"
"July 2014","71889"
"August 2014","69531"
"September 2014","59992"
"October 2014","64492"
"November 2014","59738"
"December 2014","63778"
"January 2015","57783"
"February 2015","54160"
"March 2015","68200"
"April 2015","65919"
"May 2015","68925"
"June 2015","71266"
"July 2015","75634"
"August 2015","72866"
"September 2015","63741"
"October 2015","68733"
"November 2015","64589"
"December 2015","66402"
"January 2016","60808"
"February 2016","58497"
"March 2016","70555"
"April 2016","67236"
"May 2016","71515"
"June 2016","74502"
"July 2016","76886"
"August 2016","73450"
"September 2016","66477"
"October 2016","69539"
"November 2016","66591"
"December 2016","67983"
"January 2017","62621"
"February 2017","58377"
"March 2017","72962"
"April 2017","70262"
"May 2017","73679"
"June 2017","77009"
"July 2017","79816"
"August 2017","77102"
"September 2017","64917"
"October 2017","72704"
"November 2017","69630"
"December 2017","70329"
"January 2018","64428"
"February 2018","61715"
"March 2018","76290"
"April 2018","73631"
"May 2018","77296"
"June 2018","80884"
"July 2018","83962"
"August 2018","80988"
"September 2018","68702"
"October 2018","75505"
"November 2018","72738"
"December 2018","72884"
"January 2019","67017"
"February 2019","63576"
"March 2019","80211"
"April 2019","76427"
"May 2019","81348"
"June 2019","83839"
"July 2019","86957"
"August 2019","83783"
"September 2019","72590"
"October 2019","78615"
"November 2019","73072"
"December 2019","79301"
"January 2020","70763"


SOURCE: Bureau of Transportation Statistics, T-100 Market and Segment
